Year Created,Source,Creator,Thumbnail,Graph Type,Title,Notes,Brief Creator,Brief Title,Source URL,Page #,Historical period,Folder Link,Priority,Status,Website,ID,Domain,Teacher,Slow Reveal Order,Notes
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 1)","Gannet, Henry",,Chart,Urban and total population at each census,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=8&r=-0.174,0.543,1.303,0.657,0",,,https://drive.google.com/drive/folders/1cs2qgdOySgbp7KxVnH6KqPtXCbRntfkm,,Recreation Complete,,1,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 3)","Gannet, Henry",,Chart,Number of inhabitants to the square mile at each census,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=8&r=-0.174,0.543,1.303,0.657,1",,,https://drive.google.com/drive/folders/1Wl7hexmZeRG4Dnt2h9SHqW8lK7pLVnQE,Recreation Complete,Recreation Complete,,84.1,loc,,,Duplicate
1880,"Stephenson's Civil War maps, 1989",N/A,,Timeline,Number of inhabitants to the square mile at each census,,,,https://www.loc.gov/item/2005625135/,,,,,,,,loc,,,
1851,"Maury's ""Wind and current charts"" (Series B)","Maury, Matthew Fontaine, E. J.Morris, Charles,",,Map/Chart,Trade Wind Chart of the Atlantic Ocean,,,,https://www.loc.gov/item/2009575918/,,,,,,,,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2003",,Chart,Producing Oilfields,,,,https://www.loc.gov/item/2007629280/,,,,,,,,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2004",,Pie Chart,Types of Iraqi Oil,,,,https://www.loc.gov/item/2007629280/,,,https://drive.google.com/drive/folders/1u5c7tZuuNYo6ZSqErBWkZmNAWP4B9i1Z,,Recreation Complete,,52,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2005",,Map,Iraq's Petrolium and Gas Infrastructure,,,,https://www.loc.gov/item/2007629280/,,,,,,,,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2006",,Table,Crude Oil Production and Exports 1979-2002,,,,https://www.loc.gov/item/2007629280/,,,,,,,,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2007",,Map,Distribution of Iraq's Main Ethnoreligious Groups,,,,https://www.loc.gov/item/2007629280/,,,,,,,,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2008",,Chart,Estimated Share of World Oil Production,,,,https://www.loc.gov/item/2007629280/,,,,,,,,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2009",,Table,Oil Export Capacity and Refining Capacity,,,,https://www.loc.gov/item/2007629280/,,,,,,,,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2010",,Chart,"Iraqi Oil Exports Under Phases 9,10,11,12 and 13",,,,https://www.loc.gov/item/2007629280/,,,,,,,51,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2011",,Chart,Crude Oil Production and Projections,,,,https://www.loc.gov/item/2007629280/,,,https://drive.google.com/drive/folders/1GRabz9nK81DY-3CfG8j6DTCP2Awa_m8l,,Recreation Complete,,32,loc,,,
2003,Iraq's Petroleum and Gas Infrastructure,"Washington, D.C. : Central Intelligence Agency, 2012",,Chart,Oil Ministry Production Goals,,,,https://www.loc.gov/item/2007629280/,,,,,,,60,loc,,,
2000,Census 2000: New York Profile,U.S. Census Bureau,,Map,Population Density by Census Tract,,,,https://www.loc.gov/item/2003623746/,,,,,,,,loc,,,
2000,Census 2000: New York Profile,U.S. Census Bureau,,Chart,State Race' Breakdown,,,,https://www.loc.gov/item/2003623746/,,,,,,,,loc,,,
2000,Census 2000: New York Profile,U.S. Census Bureau,,Chart,Population by Sex and Age,,,,https://www.loc.gov/item/2003623746/,,,,,,,,loc,,,
1918,American National Red Cross photograph collection (Library of Congress),American Red Cross?,,Graph,Chart showing comparison of infant mortality in Europe and the United States,,,,https://www.loc.gov/item/2017681952/,,,https://drive.google.com/drive/folders/10-0lSy6Lt07Wv9Zzz6r-vGthW7_2q05n,,Recreation Complete,,72,loc,,,
1918,American National Red Cross photograph collection (Library of Congress),American Red Cross?,,Graph,"Chart showing mortality by Tuberculosis of all forms in England, France and the United States, during the years 1906 to 1913",,,,https://www.loc.gov/item/2017681955/,,,https://drive.google.com/drive/folders/1gjcaaiHj1MTKVnaCOtj-b5qtzg_9rtC0,,Recreation Complete,,73,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 1),DuBois,,Map,The Georgia Negro A social study,,,,https://www.loc.gov/item/2013650420/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 2),Du Bois,,Map,Relative Negro population of the states of the United States.,,,,https://www.loc.gov/item/2013650421/,,,,,,,,loc,,,
1505,Geographic manuscripts in the Bavarian State Library,Italy:N//A,,Map,Portolan Chart,,,,https://www.loc.gov/item/2021668460/,,,,,,,,loc,,,
1866,Popular and applied graphic art print filing series (Library of Congress),"Dow, Lorenzo",,Chart,The Union War Chart,,,,https://www.loc.gov/item/2018757086/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 3),Du Bois,,Chart,The States of the United States According to Their Negro Population,,,,https://www.loc.gov/item/2013650422/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 4),Du Bois,,Chart,Negro Population of Georgia,,,,https://www.loc.gov/item/2013650423/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 5),Du Bois,,Map,Negro Population of Georgia by Counties,,,,https://www.loc.gov/item/2013650424/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 6),Du Bois,,Map,Negro Population of Georgia by Counties (plate 6),,,,https://www.loc.gov/item/2013650425/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 7),Du Bois,,Graph,Comparative Increase of White and Colored Population of Georgia,,,,https://www.loc.gov/resource/ppmsca.33869/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 8),Du Bois,,Map,Migration of Negroes 1890,,,,https://www.loc.gov/item/2013650427/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 9),Du Bois,,Map,Age Distribution of Georgia Negroes Compared With France,,,,https://www.gisweekatncstate.org/data-visualization-exhibits/%5Bthe-georgia-negro%5D-age-distribution-of-georgia-negroes-compared-with-france,,,,,,,,gisweekatncstate,,,
1900,The Georgia Negro Collection/Exhibition (Plate 10),Du Bois,,Chart,Conjugal Condition,,,,https://www.loc.gov/resource/ppmsca.33872/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 11),Du Bois,,Other,City and Rural Population- 1890.,,,,https://www.loc.gov/item/2013650430/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 12),Du Bois,,Other,Slaves and Free Negroes.,,,,https://www.loc.gov/pictures/item/2013650431/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 13),Du Bois,,Chart,Race Amalgamation in Georgia,,,,https://www.loc.gov/item/2013650432/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 14),Du Bois,,Other,Illiteracy,,,,https://www.loc.gov/resource/ppmsca.33876/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 15),Du Bois,,Chart,Negro Children Enrolled in the Public Schools,,,,https://www.loc.gov/item/2013650434/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 16),Du Bois,,Other,Negro Teachers in Georgia Public Schoois,,,,https://www.loc.gov/item/2013650435/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 17),Du Bois,,Other,Number of Negro Students Taking Various Courses of Study Offered in Georgia Public Schools,,,,https://www.loc.gov/item/2013650436/,,,,,,,,loc,,,
1900,The Georgia Negro Collection/Exhibition (Plate 18),Du Bois,,Other,Value of Land Owned by Georgia Negroes,,,,https://www.loc.gov/item/2013650437/,,,,,,,,loc,,,
