Year Created,Source,Creator,Thumbnail,Graph Type,Title,Notes,Brief Creator,Brief Title,Source URL,Page #,Historical period,Folder Link,Priority,Status,Website,ID,Domain,Teacher,Slow Reveal Order,Notes
2016,United States Census Bureau (Figure 7),U.S. Census Bureau,,Chart,Composition of American Voters by Educational Attainment and Race and Hispanic Origin: 2016,,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 8),U.S. Census Bureau,,Chart,Composition of American Voters by Age and Educational Attainment: 2016,,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 9),U.S. Census Bureau,,Chart,"Alternative Method of Voting, by Race and Hispanic Origin: 1996 to 2016",,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 10),U.S. Census Bureau,,Chart,"Reasons for Not Voting: Presidential Elections, 2000–2016",,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,,,,,,census,,,
2016,United States Census Bureau (Figure 11),U.S. Census Bureau,,Chart,"Reasons for Not Registering: Presidential Elections, 2004–2016",,,,https://www.census.gov/content/dam/Census/library/publications/2018/demo/P20-582.pdf,,,https://drive.google.com/drive/folders/1RRuXcHMgVA_E0TeeqG8TSC5ktqALR5q3,,Recreation Complete,,79,census,,,
?,Primary Sources- Placing Events in History,Army General Douglas MacArthur and Navy Admiral Chester Nimitz along with Admiral William “Bull” Halsey,,Map,Island Hopping in the Pacific – WWII,,,,https://sites.wp.odu.edu/primary-sources/sources-and-more/world-war-ii-in-the-pacific/,,,,,,,,wp,,,
1786,"The Commercial and Political Atlas: Representing, by Means of Stained Copper-Plate Charts, the Progress of the Commerce, Revenues, Expenditure and Debts of England during the Whole of the Eighteenth Century.","Playfair, William",,Graph,Exports and Imports to and from Denmark and Norway from 1700 to 1780,,,,https://commons.wikimedia.org/wiki/William_Playfair#/media/File:Playfair_TimeSeries.png,,,,,,,,wikimedia,,,
1786,,"Playfair, William",,Graph,Interest of the British national debt in the 18th Century,,,,NO LINK,,,,,,,,#N/A,,,
1824,The Commercial and Political Atlas,"Playfair, William",,Graph/Timeline,"Linear Chronology, Exhibiting the Revenues, Expenditure, Debt, Price of Stocks & Bread, from 1770 to 1824, 1824",,,,https://upload.wikimedia.org/wikipedia/commons/2/21/Linear_Chronology%2C_Exhibiting_the_Revenues%2C_Expenditure%2C_Debt%2C_Price_of_Stocks_%26_Bread%2C_from_1770_to_1824%2C_1824.jpg,,,,,,,,wikimedia,,,
1786,The Commercial and Political Atlas,"Playfair, William",,Graph,Export & Import to and from all North America from 1700 to 1800,,,,"https://commons.wikimedia.org/wiki/William_Playfair#/media/File:1786_Playfair_-_5_Export_&_Import_to_and_from_all_North_America_from_1700_to_1800_(from_3e_edition,_1801).jpg",,,,,,,,wikimedia,,,
1805,The Commercial and Political Atlas,"Playfair, William",,Chart,Chart of Universal Commercial History by William Playfair,,,,https://3wqjvwh65v-flywheel.netdna-ssl.com/wp-content/uploads/2018/05/Chart-of-Universal-Commercial-History-web.jpg,,,,,,,,netdna-ssl,,,
1872,LOC,"Walker, Francis",,Chart,Fiscal chart of the United States showing the course of the public debt by years from 1789 to 1870,,,,https://www.loc.gov/resource/g3701gm.gct00297/?sp=81,,,https://drive.google.com/drive/folders/1mI5VBaiAFB1BgLAynkKAeClKH6NAdf58,,Recreation Complete,,76,loc,,,
1869,?,"Mindard, Charles",,Chart,Napolean's Attack on Russia,,,,https://www.nealvonflue.com/wp-content/uploads/2018/04/Minard-napolean-chart3.jpg,,,https://drive.google.com/drive/folders/1DgBJHeZAZV2QCbDxsEeuCRaWpK_gpeMa,,Recreation Complete,,57,nealvonflue,,,
1857,?,"Nightengale, Florence",,Chart,Crimean War,,,,https://www.nealvonflue.com/wp-content/uploads/2018/04/nightgales-croatia.jpg,,,https://drive.google.com/drive/folders/1fEHcerZ0q6EjIsJM6GW8f5TaSM9utPlU,,Recreation Complete,,31,nealvonflue,,,
1918,The Woman Voter's Manual,"Catt, Carrie Chapman",,Map,Victory Map of 1917,,,,https://www.loc.gov/resource/rbnawsa.n7111/?sp=26,,,https://drive.google.com/drive/folders/1-RWOJ4UL5gj028UMRfLhkKvNoHzh_q2X,,Recreation Complete,,22,loc,,,
1894,African American Pamphlet Collection,"Gannett, Henry",,Graph,Rates of increase of white and negro population,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=9,,,https://drive.google.com/drive/folders/1d_lJTvAGP30xvZh8cAcxIDzsSYIYusjq,,Recreation Complete,,63,loc,,,
1894,African American Pamphlet Collection,"Gannett, Henry",,Maps,Proportion of Negroes to Total Population in 1890,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=15,,,,,,,,loc,,,
1894,African American Pamphlet Collection,"Gannett, Henry",,Maps,Density of Negro Population in 1890,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=15,,,https://drive.google.com/drive/folders/1u8hcP9x-q_nWocjOFRU1mJ2tZea0L1-p,,Recreation Complete,,21,loc,,,
1894,African American Pamphlet Collection,"Gannett, Henry",,Graphs,Proportion of Negroes to Total Population in 1890,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=18,,,https://drive.google.com/drive/folders/1yH2X6nmfltj0N3dHYC21uJIHAfVMiXiM,,Recreation Complete,,59,loc,,,
1894,African American Pamphlet Collection,"Gannett, Henry",,Multiple Graphs for each Southern State,Statistics of the Negroes in the United States,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=25,,,,,,,,loc,,,
1894,African American Pamphlet Collection,"Gannett, Henry",,Map,Map of Former Slave States Showing Increase and Decrease of Negro Population,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=28,,,,,,,,loc,,,
1894,African American Pamphlet Collection,"Gannett, Henry",,Other,Conjugal condition of the negro element,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=31,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Maps,Accessions of teritory,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=7&r=-0.445,-0.262,1.917,1.42,0",,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Maps,Center of population at each Census,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=9&r=0.164,0.166,1.104,0.818,0",,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 6)","Gannett, Henry",,Graph,Population of Each State and Territory :1890,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=11&r=-0.526,-0.091,1.921,1.423,0",,,https://drive.google.com/drive/folders/1qRZrzBq2ZtaTJiq-PN6BdVVPH33Uycui,,Recreation Complete,,2,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 8)","Gannett, Henry",,Graph,Number of inhabitants to the square mile by State and Territories: 1890.,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=11&r=-0.526,-0.091,1.921,1.423,1",,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Graphs for each state,Total population of the present area of the states and territories at each census in millions,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=12,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Graphs,Total population of the present area of the states and territories at each census in millions (Continued),,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=13,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Maps,Population of the United States (Excluding Indians not taxed):1790 to 1820,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=15&r=0.001,-0.04,1.338,0.991,0",,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Maps,Population of the United States (Excluding Indians not taxed):1830 to 1860,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=16,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Maps,Population of the United States (Excluding Indians not taxed):1870 to 1880,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=17,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Map,Distribution of the population of the United States: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=18,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Graphs,Population of Urban to total population by States and Territoties - historical: 1790 - 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=19,,,https://drive.google.com/drive/folders/1-qWYQHoj6INFw1V9jW1WCfgXY2LCqKIe,,Recreation Complete,,4,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 21)","Gannett, Henry",,Graph,Total and Urban Population by State and Territories: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=20,,,https://drive.google.com/drive/folders/1AIkXg8oHfYuh_YJZ1oy01EITv-4Ecofo,,Recreation Complete,,3,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 24)","Gannett, Henry",,Graph,Increase of Population of the Great Cities : 1800 to 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=21,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census","Gannett, Henry",,Other,Rank of the most populous cities at each census: 1790 - 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=21,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 25)","Gannett, Henry",,Map,Increase or decrease of the rural population: 1880 to 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=22,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 28)","Gannett, Henry",,Map,The predominating sex: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=23,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 26)","Gannett, Henry",,Graph,Population: size of families: sex: color and race,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=24,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 31)","Gannett, Henry",,Graphs,Percentage of whites and negroes in certain states at each census: 1790-1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=25,,,https://drive.google.com/drive/folders/1fM1lKFNvO08X6cjEben_c3BgdCF2vEfz,,Recreation Complete,,62,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 29)","Gannett, Henry",,Map,Distribution of the colored population of the united states: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=26,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 37)","Gannett, Henry",,Graph,"Foreign born population, by states and territories: 1890",,,,"
https://www.loc.gov/resource/g3701gm.gct00010/?sp=29",,,https://drive.google.com/drive/folders/1NgkUYFaJoFN2bhb7kjjCPpGwxndWFDoP,,Recreation Complete,,9,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 32)","Gannett, Henry",,Map,Distribution of the foreign born population of the United Sates : 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=30,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 33)","Gannett, Henry",,Map,Proportion of the foreign-born population to the aggregate population: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=31,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 34)","Gannett, Henry",,Chart,The total population and its elements at each census: 1790 to 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=32,,,https://drive.google.com/drive/folders/162QEnHw1swfrkJ1QDhe1Oy9af2rmTfFB,Recreation Complete,Recreation Complete,,6,loc,Sadye,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 35)","Gannett, Henry",,Chart,Constituents of the Population of the States and Territories: 1890.,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=33,,,https://drive.google.com/drive/folders/16ur0LBqe-6NUMWP03ICPoPXXVCphP2qS,Recreation Complete,Recreation Complete,,7,loc,Sadye,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 36)","Gannett, Henry",,Chart,Constituents of the Population of the Great Cities: 1890.,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=34,,,https://drive.google.com/drive/folders/1NrfGtjEiKf79u7LiC-XLAGLB9JD5ZknE,Recreation Complete,Recreation Complete,,8,loc,Sadye,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 39)","Gannett, Henry",,Chart,Nationalities of the Foreign Born at Each Census: 1850 to 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=32,,,https://drive.google.com/drive/folders/1Zbf2BfgKFWeukqgmbzRhf6bv-PMfl7La,Recreation Complete,Recreation Complete,,100,loc,Sadye,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 40)","Gannett, Henry",,Map,Proportion of Whites of foreign parentage to all whites: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=33,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 38)","Gannett, Henry",,Chart,"White Population of Foreign Parentage, Including Foreign Born Whites, by States and Territories: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=34,,,https://drive.google.com/drive/folders/1QOgDt-B-qYyWbIKapowskOH5qy18CVvT,,Recreation Complete,,10,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 41)","Gannett, Henry",,Chart,Nativity of the Foreign Born Population: 1890.,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=35,,,https://drive.google.com/drive/folders/1JanADafsxboBbDLLG-yZQ9SukECnOqA7,,Recreation Complete,,11,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 42)","Gannett, Henry",,Chart,"Number of Natives of Germanic Nations, By States: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=36,,,https://drive.google.com/drive/folders/1nOmqVjCr6CdgdVFWKma7odTbJxHyFni6,,Recreation Complete,,12,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 43)","Gannett, Henry",,Chart,"Number of Natives of Ireland, by States: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=37,,,https://drive.google.com/drive/folders/1jHMOOta2UcRnXSlWgKrM5HSd0_nKgt6K,,Recreation Complete,,13,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 44)","Gannett, Henry",,Chart,"Number of Natives of Great Britain, by States: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=38,,,https://drive.google.com/drive/folders/1FZi0Ug0SLUt9De-XOsILp-57TkfarL7z,,Recreation Complete,,14,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 45)","Gannett, Henry",,Chart,"Number of Natives of Canada and Newfoundland, by States: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=39,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 46)","Gannett, Henry",,Chart,"Number of Natives of the Scandinavian Nations, By States and Territories: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=35,,,https://drive.google.com/drive/folders/1GU-w3-BLXJmaDNY6JVydhEFlL0Tucdwx,,Recreation Complete,,16,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 47)","Gannett, Henry",,Chart,"Number of Natives of the Slav Nations, By States: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=36,,,https://drive.google.com/drive/folders/1KVFk6jA60hJ5J_u-RJL9xcLTsAwVXBBG,,Recreation Complete,,17,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 48)","Gannett, Henry",,Chart,"Number of Natives of the Latin Nations, By States: 1890.",,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=35&r=0.099,0.236,0.812,0.355,0",,,https://drive.google.com/drive/folders/1Vo-gZQTngN1YKN2miBhZ7LveGDBgeERr,,Recreation Complete,,18,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 50)","Gannett, Henry",,Other,"Proportion of the Native and Foreign Born in Cities of 25,000 Inhabitants or More: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=38,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 51)","Gannett, Henry",,Chart,"Percentage of Each Nativity in Cities of 25,000 Inhabitants or More: 1890.",,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=39,,,https://drive.google.com/drive/folders/1wPgNeL78DXSNdahIkWrFjRxf-VbWsMsJ,,Recreation Complete,,19,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 62)","Gannett, Henry",,Chart,Percentage of Aliens in the Total Foreign Born of Each Specified Nativity,,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=35&r=0.059,0.514,0.585,0.256,0",,,https://drive.google.com/drive/folders/1Ej8tHfLToCOVtq7jZ3uSnIJpyrh5xjIF,,Recreation Complete,,20,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 49)","Gannett, Henry",,Graphs,Composition of the foreign-born population: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=36,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 52)","Gannett, Henry",,Map,Density of distribution of the natives of Canada and Newfoundland: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=37,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 53)","Gannett, Henry",,Map,Proportion of the Natives of Canada and Newfoundland to the Aggregate Population: 1890.,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=38,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 54)","Gannett, Henry",,Map,Density of distribution of the natives of Great Britain: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=38,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 55)","Gannett, Henry",,Map,Proportion of the Natives of Great Britain to the Aggregate Population: 1890.,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=39,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 56)","Gannett, Henry",,Map,Density of distribution of the natives of Ireland: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=39,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 57)","Gannett, Henry",,Map,Proportion of the Natives of Ireland to the Aggregate Population: 1890.,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=40,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 58)","Gannett, Henry",,Map,Density of distribution of the natives of the Germanic nations: 1890,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=40,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 58)","Gannett, Henry",,Map,Proportion of the Natives of the Germanic Nations to the Aggregate Population: 1890.,,,,https://www.loc.gov/resource/g3701gm.gct00010/?sp=41,,,,,,,,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure 26)","Gannett, Henry",,Chart,"Number of Persons To A Family , States and Territories: 1890.",,,,"https://www.loc.gov/resource/g3701gm.gct00010/?sp=24&r=0.474,0.694,0.307,0.14,0",,,https://drive.google.com/drive/folders/17HX6Q8Gjr3ZOCt42XyAF1gh0ourwnwdl,,Recreation Complete,,5,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure Plate 1)","Gannett, Henry",,Chart,Total Population and White and Negro Elements,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=10,,,https://drive.google.com/drive/folders/10KxePOd28qcVJ-fEmYBBw4pdUc5IQlri,,Recreation Complete,,44,loc,,,
1898,"Statistical atlas of the United States, based upon the results of the eleventh census (Figure Plate 2)","Gannett, Henry",,Chart,Proportion of the Negro Element to the Total Population,,,,https://www.loc.gov/resource/rbaapc.10601/?sp=10,,,https://drive.google.com/drive/folders/1AgAWvwHQMbKhwf7PcOtBwH4NA8lb7149,,Recreation Complete,,42,loc,,,
,,Migration Section from U.S. Census Bureau,,,,,,,,,,,,,,,#N/A,,,
2000,"U.S Census Bureau 2000, Page 2, Upper Right",U.S. Census Bureau 2000,,Chart,"Percent of Population 5 and Older by Type of Move, 1995 to 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 3, Lower Left",U.S. Census Bureau 2000,,Map,"Migration Rate, 1935 to 1940",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,56,census,,,
2000,"U.S Census Bureau 2000, Page 3, Lower Middle",U.S. Census Bureau 2000,,Map,"Migration Rate, 1965 to 1970",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,56,census,,,
2000,"U.S Census Bureau 2000, Page 3, Lower Right",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,56,census,,,
2000,"U.S Census Bureau 2000, Page 4, Upper Middle",U.S. Census Bureau 2000,,Map,"Migrants (millions) by Type and Region, 1995 to 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,https://drive.google.com/drive/folders/1zibTYiEHnsLZ3b3pCbPQ9L9t0PNSlXmH,,Recreation Complete,,75,census,,,
2000,"U.S Census Bureau 2000, Page 4, Lower Left",U.S. Census Bureau 2000,,Map,Population Living in Different States in 1995 and 2000,,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 5",U.S. Census Bureau 2000,,Map,Migration Between California and Other States 1955 to 1960 and 1995 to 2000,,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 6, Upper Left",U.S. Census Bureau 2000,,Map,"Migration, 1965 to 1970",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 6, Upper Right",U.S. Census Bureau 2000,,Map,"Migration, 1975 to 1980",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 6, Lower Left",U.S. Census Bureau 2000,,Map,"Migration, 1985 to 1990",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 6, Lower Right",U.S. Census Bureau 2000,,Map,"Migration, 1995 to 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 7, Top",U.S. Census Bureau 2000,,Map,"Regional Migration, 1955 to 1960",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 7, Bottom",U.S. Census Bureau 2000,,Map,"Regional Migration, 1995 to 2000",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 8, Top",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Population 18 to 64)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 8, Bottom",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Population 65 and older)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 9, Top",U.S. Census Bureau 2000,,Map,"Migartion, 1995 to 2000 (Population 25 to 39)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 9, Bottom",U.S. Census Bureau 2000,,Map,"Migration, 1995 to 2000 (Population 65 and older)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 10, Top",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Native Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 10, Bottom",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Foriegn-Born Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 11, Top",U.S. Census Bureau 2000,,Map,"Outmigration of the Foreign Born, 1995 to 2000 (California, New York, and Texas)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 11, Bottom",U.S. Census Bureau 2000,,Map,"Outmigration of the Foreign Born, 1995 to 2000 (Florida, Illinois, and New Jersey)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 12, Upper Left",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (White Non-Hispanic Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 12, Upper Right",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Black Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 12, Lower Left",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (American Indian and Alska Native Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 12, Lower Right",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Asian Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 13, Upper Left",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Pacific Islander Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 13, Upper Right",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Two or More Races Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
2000,"U.S Census Bureau 2000, Page 13, Lower Left",U.S. Census Bureau 2000,,Map,"Migration Rate, 1995 to 2000 (Hispanic Population)",,,,https://www.census.gov/content/dam/Census/library/publications/2007/dec/7_migration.pdf,,,,,,,,census,,,
